city_ascii,lat,lng,iso2,population
Malisheve,42.4822,20.7458,XK,
Prizren,42.2139,20.7397,XK,
Zubin Potok,42.9144,20.6897,XK,
Kamenice,42.5781,21.5803,XK,
Viti,42.3214,21.3583,XK,
Shterpce,42.2394,21.0272,XK,
Shtime,42.4331,21.0397,XK,
Vushtrri,42.8231,20.9675,XK,
Dragash,42.0265,20.6533,XK,
Podujeve,42.9111,21.1899,XK,
Fushe Kosove,42.6639,21.0961,XK,
Kacanik,42.2319,21.2594,XK,
Kline,42.6217,20.5778,XK,
Leposaviq,43.1039,20.8028,XK,
Peje,42.66,20.2922,XK,
Rahovec,42.3994,20.6547,XK,
Gjilan,42.4689,21.4633,XK,
Lipjan,42.5217,21.1258,XK,
Obiliq,42.6869,21.0703,XK,
Gjakove,42.3803,20.4308,XK,
Pristina,42.6666,21.1724,XK,
Decan,42.5378,20.2911,XK,
Istog,42.7808,20.4875,XK,
Hani i Elezit,42.15,21.2967,XK,
Junik,42.4758,20.2772,XK,
Kllokot,42.3714,21.3744,XK,
Mamushe,42.3308,20.7269,XK,
Partesh,42.4019,21.4336,XK,
Ranillug,42.4922,21.5989,XK,
Ferizaj,42.3706,21.1553,XK,
Zvecan,42.9075,20.8403,XK,
Suhareke,42.3586,20.825,XK,
Gllogovc,42.6283,20.8939,XK,
Mitrovice,42.8833,20.8667,XK,
Skenderaj,42.7467,20.7886,XK,
Novoberde,42.6178,21.4197,XK,
Gracanice,42.6011,21.1958,XK,
Longyearbyen,78.2167,15.6333,XR,
Sanaa,15.3547,44.2066,YE,2008000
Marib,15.421,45.334,YE,16794
Al Jabin,14.704,43.599,YE,
Hajjah,15.6917,43.6021,YE,208287
Ibb,13.9759,44.1709,YE,234837
Al Hudaydah,14.7979,42.953,YE,780000
Lahij,13.0582,44.8838,YE,66288
Al Mahwit,15.4701,43.5448,YE,
Taizz,13.6045,44.0394,YE,751000
Sadah,16.9398,43.8498,YE,105542
Dhamar,14.5575,44.3875,YE,191259
`Amran,15.6594,43.9439,YE,
Ad Dali`,13.6957,44.7314,YE,
Saywun,15.943,48.7873,YE,68747
Al Bayda,13.979,45.574,YE,37821
Zinjibar,13.1287,45.3807,YE,
Rida,14.4295,44.8341,YE,45233
'Ataq,14.55,46.8,YE,37315
Al Ghaydah,16.2394,52.1638,YE,27404
Sayhut,15.2105,51.2454,YE,189
Al Mukalla,14.5412,49.1259,YE,258132
Al Hazm,16.1641,44.7769,YE,
Zabid,14.1951,43.3155,YE,152504
Aden,12.7797,45.0095,YE,1000000
Hadiboh,12.6519,54.0239,YE,11396
Ash Shihr,14.7593,49.6092,YE,54274
Dzaoudzi,-12.7871,45.275,YT,32057
Pretoria,-25.7069,28.2294,ZA,1338000
Lebowakgomo,-24.1996,29.5,ZA,33308
Potchefstroom,-26.6996,27.1,ZA,123669
Graaff Reinet,-32.3,24.54,ZA,62896
Rustenburg,-25.65,27.24,ZA,165976
Brandfort,-28.6996,26.47,ZA,12091
Vryheid,-27.76,30.79,ZA,150012
Vereeniging,-26.6496,27.96,ZA,1074000
Brits,-25.6296,27.78,ZA,122497
Bethlehem,-28.2196,28.3,ZA,83654
Ubomba,-27.5661,32.0833,ZA,564
Polokwane,-23.89,29.45,ZA,220045
Springbok,-29.6667,17.8833,ZA,10438
Thohoyandou,-22.95,30.48,ZA,269707
Pietermaritzburg,-29.61,30.39,ZA,750845
Poffader,-29.1329,19.3834,ZA,4220
Carnarvon,-30.9496,22.1333,ZA,5785
Kroonstad,-27.66,27.21,ZA,103992
Alexander Bay,-28.6083,16.5033,ZA,1500
Bloemhof,-27.6496,25.59,ZA,17122
Hermanus,-34.4096,19.2299,ZA,25153
Bethal,-26.4696,29.45,ZA,101919
Upington,-28.46,21.23,ZA,71373
Tzaneen,-23.8195,30.17,ZA,67245
Vanhynsdorp,-31.6166,18.7333,ZA,3331
Musina,-22.34,30.03,ZA,20191
Kimberley,-28.7468,24.77,ZA,165264
Durban,-29.865,30.98,ZA,2729000
Klerksdorp,-26.88,26.62,ZA,178921
Welkom,-27.97,26.73,ZA,431944
De Aar,-30.65,24,ZA,32318
Prieska,-29.6595,22.73,ZA,11236
Saldanha,-33.01,17.93,ZA,68284
Middelburg,-31.5,25.01,ZA,18164
Port St. Johns,-31.6279,29.5283,ZA,5939
Volksrust,-27.3596,29.89,ZA,43378
Ulundi,-28.3296,31.41,ZA,20753
Beaufort West,-32.3496,22.57,ZA,44737
Komatipoort,-25.4096,31.94,ZA,20508
Nelspruit,-25.4745,30.9703,ZA,
Standerton,-26.9395,29.24,ZA,74021
Johannesburg,-26.17,28.03,ZA,3435000
Kuruman,-27.4496,23.42,ZA,10006
Paarl,-33.6996,18.96,ZA,187865
Worcester,-33.64,19.4399,ZA,127597
Colesberg,-30.7195,25.1,ZA,12423
Umtata,-31.58,28.79,ZA,137772
Aliwal North,-30.6896,26.71,ZA,44436
Middelburg,-25.7596,29.47,ZA,154706
Springs,-26.2696,28.43,ZA,236083
Benoni,-26.1496,28.3299,ZA,2986000
Port Shepstone,-30.7195,30.46,ZA,52793
Oudtshoorn,-33.58,22.19,ZA,76708
Port Elizabeth,-33.97,25.6,ZA,1021000
Port Alfred,-33.5995,26.88,ZA,17959
East London,-32.97,27.87,ZA,338627
Mossel Bay,-34.17,22.13,ZA,16743
Vryburg,-26.96,24.73,ZA,49588
Uitenhage,-33.7596,25.39,ZA,228912
Bhisho,-32.87,27.39,ZA,160997
Knysna,-34.0329,23.0333,ZA,63106
Queenstown,-31.8996,26.88,ZA,105309
Cradock,-32.1995,25.61,ZA,32898
Bredasdorp,-34.5295,20.03,ZA,14936
Swellendam,-34.0196,20.43,ZA,13674
Ladysmith,-28.5495,29.78,ZA,47375
George,-33.95,22.45,ZA,174582
Grahamstown,-33.2996,26.52,ZA,91548
Mmabatho,-25.83,25.61,ZA,104428
Mahikeng,-25.8652,25.6442,ZA,
Bloemfontein,-29.12,26.2299,ZA,463064
Cape Town,-33.92,18.435,ZA,3215000
Zambezi,-13.54,23.1099,ZM,7074
Solwezi,-12.1796,26.4,ZM,65000
Lusaka,-15.4166,28.2833,ZM,1328000
Kaoma,-14.7796,24.8,ZM,14212
Chipata,-13.6296,32.64,ZM,85963
Senanga,-16.1196,23.27,ZM,10005
Sesheke,-17.4695,24.3,ZM,20149
Chililabombwe,-12.3696,27.82,ZM,82068
Chingola,-12.5396,27.85,ZM,182015
Kasempa,-13.4596,25.82,ZM,5622
Kitwe,-12.81,28.22,ZM,404901
Mufulira,-12.55,28.26,ZM,153624
Nchelenge,-9.3496,28.73,ZM,23693
Mazabuka,-15.86,27.76,ZM,64006
Lukulu,-14.3896,23.24,ZM,3349
Kafue,-15.78,28.18,ZM,47554
Lundazi,-12.2895,33.17,ZM,11635
Mansa,-11.2,28.89,ZM,42277
Mwinilunga,-11.7396,24.44,ZM,13798
Mumbwa,-14.9796,27.07,ZM,19086
Kalabo,-14.9896,22.68,ZM,7731
Nyimba,-14.5495,30.81,ZM,1336
Kapiri Mposhi,-13.9696,28.66,ZM,37942
Kabwe,-14.44,28.45,ZM,188979
Ndola,-12.9999,28.65,ZM,396339
Kasama,-10.1996,31.1799,ZM,200000
Mbala,-8.84,31.37,ZM,20570
Kawambwa,-9.7795,29.08,ZM,20589
Luanshya,-13.1333,28.4,ZM,151993
Mongu,-15.2796,23.12,ZM,52534
Mpika,-11.83,31.46,ZM,28445
Chinsali,-10.5496,32.06,ZM,14015
Livingstone,-17.86,25.86,ZM,165480
Choma,-16.8095,26.97,ZM,46746
Plumtree,-20.4795,27.82,ZW,2148
Kariba,-16.5296,28.8,ZW,25531
Hwange,-18.37,26.5,ZW,33989
Chiredzi,-21.0496,31.66,ZW,28205
Mazowe,-17.5196,30.97,ZW,9966
Zvishavane,-20.3296,30.05,ZW,35896
Shamva,-17.3196,31.57,ZW,10317
Harare,-17.8178,31.0447,ZW,1572000
Kwekwe,-18.9296,29.8,ZW,99149
Kadoma,-18.33,29.9099,ZW,79174
Gwanda,-20.9396,29.01,ZW,14450
Chinhoyi,-17.3596,30.18,ZW,61739
Beitbridge,-22.2096,29.99,ZW,26459
Mutare,-18.97,32.65,ZW,249365
Gweru,-19.45,29.82,ZW,183358
Karoi,-16.8196,29.68,ZW,25030
Masvingo,-20.0596,30.82,ZW,76311
Bulawayo,-20.17,28.58,ZW,699385
Victoria Falls,-17.9296,25.84,ZW,35761
Chitungwiza,-18,31.1,ZW,340360
Maqat,47.6482,53.3265,KZ,14082
Zhangaozen,43.3004,52.8,KZ,8895
Taraz,42.9,71.365,KZ,358153
Shymkent,42.32,69.595,KZ,465392
Oral,51.2711,51.335,KZ,209788
Balqash,46.8532,74.9502,KZ,81364
Zaysan,47.4752,84.8598,KZ,17600
Oytal,42.9153,73.2549,KZ,22673
Zholymbet,51.7502,71.7099,KZ,6876
Serebryansk,49.6999,83.4249,KZ,701
Chapaev,50.1915,51.1449,KZ,6000
Ridder,50.3554,83.5149,KZ,56756
Zhaltyr,51.6324,69.8328,KZ,694
Atbasar,51.8219,68.3477,KZ,35819
Aqsay,51.1714,53.0349,KZ,34799
Shemonaikha,50.6316,81.905,KZ,27176
Atasu,48.6903,71.6499,KZ,19616
Rudny,52.9527,63.13,KZ,124000
Makhambet,47.6714,51.5798,KZ,8905
Fort Shevchenko,44.5171,50.2666,KZ,5213
Qusmuryn,52.458,64.6,KZ,8049
Oktyabrsk,49.4731,57.4449,KZ,28196
Khromtau,50.2699,58.45,KZ,23715
Algha,49.9032,57.335,KZ,28267
Embi,48.8268,58.1442,KZ,18760
Ushtobe,45.2653,77.97,KZ,20492
Burylbaytal,44.9387,74.0303,KZ,100
Zhanibek,49.4276,46.8772,KZ,8212
Esil,51.957,66.3775,KZ,13504
Derzhavinsk,51.1021,66.3075,KZ,15848
Saryshaghan,46.1195,73.6191,KZ,4365
Turgay,49.626,63.499,KZ,5277
Sarqan,45.4203,79.9149,KZ,76919
Arqalyq,50.2418,66.8976,KZ,55521
Shalqar,47.8363,59.6141,KZ,27256
Shieli,44.167,66.75,KZ,29832
Bayghanin,48.6917,55.874,KZ,7657
Zhezqazghan,47.78,67.77,KZ,104357
Mangyshlak,43.6905,51.1417,KZ,147443
Zhosaly,45.4877,64.078,KZ,20065
Beyneu,45.1834,55.1,KZ,32452
Qazaly,45.7628,62.1075,KZ,6582
Aral,46.8,61.6666,KZ,33017
Ayakoz,47.9647,80.4297,KZ,45861
Urzhar,47.1002,81.6048,KZ,14826
Qapshaghay,43.8844,77.0687,KZ,42167
Esik,43.3691,77.4438,KZ,35319
Turkistan,43.3016,68.2549,KZ,97360
Qaratau,43.1854,70.46,KZ,37881
Sharbaqty,52.4999,78.1499,KZ,107
Oostanay,53.2209,63.6283,KZ,236901
Kachiry,53.0804,76.09,KZ,8931
Kishkenekol,53.6368,72.3414,KZ,6779
Bulaevo,54.9053,70.44,KZ,9886
Shonzhy,43.5421,79.4703,KZ,3902
Qyzylorda,44.8,65.465,KZ,300000
Qaraghandy,49.885,73.115,KZ,451800
Ertis,53.3453,75.4499,KZ,9216
Tayynsha,53.8481,69.7638,KZ,13148
Qulan,42.9204,72.705,KZ,13128
Shu,43.5953,73.7448,KZ,42439
Kentau,43.5165,68.5199,KZ,57408
Oskemen,49.99,82.6149,KZ,319067
Aqtau,43.6232,51.2365,KZ,4479
Taldyqorghan,45,78.4,KZ,88380
Astana,51.1811,71.4278,KZ,345604
Aqtobe,50.28,57.17,KZ,262457
Kokshetau,53.3,69.42,KZ,128873
Petropavlovsk,54.88,69.22,KZ,228238
Pavlodar,52.3,76.95,KZ,329002
Otar,43.5346,75.2139,KZ,11238
Almaty,43.325,76.915,KZ,1209000
Bestobe,52.4997,73.0997,KZ,7189
Arys,42.4369,68.8048,KZ,42648
Lenger,42.1899,69.8799,KZ,23058
Aqsu,52.4502,71.9597,KZ,8543
Temirtau,50.065,72.965,KZ,170600
Makinsk,52.6404,70.41,KZ,23020
Osakarovka,50.5799,72.5699,KZ,7305
Qarqaraly,49.4249,75.4649,KZ,8195
Ekibastuz,51.73,75.3199,KZ,127868
Zyryanovsk,49.7453,84.2548,KZ,49658
Komsomolets,53.7506,62.0502,KZ,9838
Baykonur,45.6914,63.2413,KZ,36175
Erymentau,51.6303,73.1049,KZ,25141
Qarazhal,48.0253,70.7999,KZ,22170
Tobol,52.698,62.5749,KZ,7155
Shar,49.6003,81.0549,KZ,9087
Semey,50.435,80.275,KZ,311353
Boralday,43.3341,76.8288,KZ,20996
